scenario_id,scenario,benchmark_mode,model_identifier,retained_n,eligible_n,excluded_n,spearman_rho_observed_vs_deviation,jaccard_observed_vs_deviation,high_observed_n,high_deviation_n,primary_high_deviation_total_n,excluded_primary_high_deviation_n,eligible_primary_high_deviation_n,retained_eligible_primary_n,eligible_retention_proportion,dropped_eligible_primary_n,newly_classified_high_deviation_n,overall_retention_proportion,eligible_set_jaccard_with_primary,retained_primary_high_deviation_n,retained_primary_high_deviation_proportion,truly_reclassified_n,observed_high_threshold,benchmark_deviation_high_threshold,population_cutoff,log_UI_width_cutoff,cutoff_notes,median_abs_prediction_difference_vs_fixed,maximum_abs_prediction_difference_vs_fixed,spearman_rho_predictions_vs_fixed,prediction_repro_max_abs_difference
full_sample,Full sample,fixed full-sample benchmark,stored_full_sample_benchmark,203,203,0,-0.07825253693146772,0.20353982300884957,68,68,68,0,68,68,1.0,0,0,1.0,1.0,68,1.0,0,7330.71695103106,649.7363241861207,,,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
population_500k,"Population at risk >=500,000",fixed full-sample benchmark,stored_full_sample_benchmark,107,107,96,-0.22671878367522877,0.1076923076923077,36,36,68,41,27,27,1.0,0,9,0.39705882352941174,0.75,27,0.39705882352941174,9,8277.355481533683,32.36315255452034,500000.0,,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
population_500k,"Population at risk >=500,000",restricted-refit benchmark,restricted_refit_population_500k,107,107,96,-0.1925488352044515,0.1076923076923077,36,36,68,41,27,27,1.0,0,9,0.39705882352941174,0.75,27,0.39705882352941174,9,8277.355481533683,302.1830832375546,500000.0,,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,598.835166882498,2527.7779572839645,1.0,0.0
population_1m,"Population at risk >=1,000,000",fixed full-sample benchmark,stored_full_sample_benchmark,85,85,118,-0.22540551104162596,0.12,29,27,68,49,19,19,1.0,0,8,0.27941176470588236,0.7037037037037037,19,0.27941176470588236,8,8613.16113084222,-168.68633230738638,1000000.0,,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
population_1m,"Population at risk >=1,000,000",restricted-refit benchmark,restricted_refit_population_1m,85,85,118,-0.18757084229040455,0.11538461538461539,29,29,68,49,19,19,1.0,0,10,0.27941176470588236,0.6551724137931034,19,0.27941176470588236,10,8613.16113084222,324.04265499357183,1000000.0,,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,781.4902648009784,2977.081677213573,1.0,0.0
ui80,log_UI_width <= 80th percentile,fixed full-sample benchmark,stored_full_sample_benchmark,162,162,41,-0.08055340330613736,0.16129032258064516,54,54,68,8,60,54,0.9,6,0,0.7941176470588235,0.9,54,0.7941176470588235,6,8018.233637407194,876.2068143013715,,0.37847884884274985,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
ui80,log_UI_width <= 80th percentile,restricted-refit benchmark,restricted_refit_ui80,162,162,41,0.2801890027816942,0.2413793103448276,54,54,68,8,60,45,0.75,15,9,0.6617647058823529,0.6521739130434783,45,0.6617647058823529,24,8018.233637407194,779.4680152560411,,0.37847884884274985,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,1145.8751949544226,3572.7053472248444,1.0,0.0
ui50,log_UI_width <= median,fixed full-sample benchmark,stored_full_sample_benchmark,102,102,101,-0.09867628681771662,0.13333333333333333,34,34,68,35,33,33,1.0,0,1,0.4852941176470588,0.9705882352941176,33,0.4852941176470588,1,8801.760593324565,577.4235634042617,,0.32904586757002185,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
ui50,log_UI_width <= median,restricted-refit benchmark,restricted_refit_ui50,102,102,101,0.2359443825593296,0.19298245614035087,34,34,68,35,33,28,0.8484848484848485,5,6,0.4117647058823529,0.717948717948718,28,0.4117647058823529,11,8801.760593324565,768.7692729253472,,0.32904586757002185,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,1076.3362358548952,4752.526946168291,1.0,0.0
ui25,log_UI_width <= 25th percentile,fixed full-sample benchmark,stored_full_sample_benchmark,51,51,152,-0.26986425339366515,0.0967741935483871,17,17,68,52,16,16,1.0,0,1,0.23529411764705882,0.9411764705882353,16,0.23529411764705882,1,8969.332536363294,-93.39772775535545,,0.3029401580633593,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
ui25,log_UI_width <= 25th percentile,restricted-refit benchmark,restricted_refit_ui25,51,51,152,0.2695022624434389,0.3076923076923077,17,17,68,52,16,12,0.75,4,5,0.17647058823529413,0.5714285714285714,12,0.17647058823529413,9,8969.332536363294,905.767248293502,,0.3029401580633593,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,2193.3984307491737,5868.341988914959,0.9999999999999999,0.0
joint_pop500_ui80,"Population >=500,000 + log_UI_width <=80th percentile",fixed full-sample benchmark,stored_full_sample_benchmark,91,91,112,-0.173865265169613,0.06896551724137931,31,31,68,42,26,26,1.0,0,5,0.38235294117647056,0.8387096774193549,26,0.38235294117647056,5,8652.75042824236,108.98078771100812,500000.0,0.37847884884274985,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,,,,
joint_pop500_ui80,"Population >=500,000 + log_UI_width <=80th percentile",restricted-refit benchmark,restricted_refit_joint_pop500_ui80,91,91,112,0.2505653766523332,0.21568627450980393,31,31,68,42,26,23,0.8846153846153846,3,8,0.3382352941176471,0.6764705882352942,23,0.3382352941176471,11,8652.75042824236,1056.4378441961999,500000.0,0.37847884884274985,Upper tertile (2/3 quantile) thresholds within the eligible set; positive deviation required.,1450.1877277738595,5523.249363725843,1.0,0.0
